,device_type_used,Yearquarter,frequency
0,Android,201809,3
1,Android,201810,1
2,Android,201811,2
3,Android,201907,1
4,Android,201909,2
5,Android,201910,2
6,Android,201911,1
7,Android,201912,12
8,Android,202001,7
9,Android,202002,8
10,Android,202003,4
11,Android,202005,1
12,Android,202006,1
13,Android,202008,3
14,Android,202009,1
15,Android,202010,2
16,Android,202011,3
17,Android,202012,1
18,Android,202104,1
19,Android,202105,1
20,Android,202108,1
21,Android,202109,4
22,Android,202110,3
23,Android,202111,4
24,Android,202112,1
25,Android,202201,2
26,Android,202203,1
27,Android,202204,1
28,Android,202206,1
29,Desktop,201809,6
30,Desktop,201810,17
31,Desktop,201811,4
32,Desktop,201812,6
33,Desktop,201901,2
34,Desktop,201906,1
35,Desktop,201907,3
36,Desktop,201908,2
37,Desktop,201909,2
38,Desktop,201910,5
39,Desktop,201911,4
40,Desktop,201912,6
41,Desktop,202001,10
42,Desktop,202002,17
43,Desktop,202003,5
44,Desktop,202010,5
45,Desktop,202011,9
46,Desktop,202012,1
47,Desktop,202101,9
48,Desktop,202102,2
49,Desktop,202103,1
50,Desktop,202104,4
51,Desktop,202106,6
52,Desktop,202108,2
53,Desktop,202109,4
54,Desktop,202110,4
55,Desktop,202111,3
56,Desktop,202112,3
57,Desktop,202201,6
58,Desktop,202202,3
59,Desktop,202203,1
60,Desktop,202204,1
61,Desktop,202206,1
62,Desktop,202207,3
63,IOS,201811,2
64,IOS,201812,2
65,IOS,201907,1
66,IOS,201909,3
67,IOS,201910,2
68,IOS,201911,3
69,IOS,201912,10
70,IOS,202001,13
71,IOS,202002,8
72,IOS,202003,4
73,IOS,202007,2
74,IOS,202009,2
75,IOS,202010,1
76,IOS,202012,1
77,IOS,202102,1
78,IOS,202103,4
79,IOS,202104,3
80,IOS,202107,2
81,IOS,202108,1
82,IOS,202109,2
83,IOS,202110,7
84,IOS,202111,3
85,IOS,202112,5
86,IOS,202201,3
87,IOS,202202,4
88,IOS,202203,4
89,IOS,202204,1
90,IOS,202205,3
91,IOS,202206,2
92,IOS,202207,1
93,MobileWeb,201809,2
94,MobileWeb,201810,2
95,MobileWeb,201811,2
96,MobileWeb,202001,3
97,MobileWeb,202002,7
98,MobileWeb,202003,2
99,MobileWeb,202012,1
100,MobileWeb,202102,1
101,MobileWeb,202109,3
102,MobileWeb,202110,2
103,MobileWeb,202111,1
104,MobileWeb,202112,2
105,MobileWeb,202202,1
106,MobileWeb,202203,1
107,MobileWeb,202205,1
108,Tablet,201809,1
109,Tablet,201810,1
110,Tablet,201906,1
