gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,,Maths - Reading Calc,,x.bar is average,,180817,229689,212957,,
female,group B,bachelor's degree,standard,none,72,72,74,,x,y,,,Numerator,Denominator,,,
female,group C,some college,standard,completed,69,90,88,,math score,reading score,x - xbar,y-ybar,multy,,,,
female,group B,master's degree,standard,none,90,95,93,,72,72,5.9,2.9,17.11,34.81,8.41,,
male,group A,associate's degree,free/reduced,none,47,57,44,,69,90,2.9,20.9,60.61,8.41,436.81,,
male,group C,some college,standard,none,76,78,75,,90,95,23.9,25.9,619.01,571.21,670.81,,
female,group B,associate's degree,standard,none,71,83,78,,47,57,-19.1,-12.1,231.11,364.81,146.41,,
female,group B,some college,standard,completed,88,95,92,,76,78,9.9,8.9,88.11,98.01,79.21,,
male,group B,some college,free/reduced,none,40,43,39,,71,83,4.9,13.9,68.11,24.01,193.21,,
male,group D,high school,free/reduced,completed,64,64,67,,88,95,21.9,25.9,567.21,479.61,670.81,,
female,group B,high school,free/reduced,none,38,60,50,,40,43,-26.1,-26.1,681.21,681.21,681.21,,
male,group C,associate's degree,standard,none,58,54,52,,64,64,-2.1,-5.1,10.71,4.41,26.01,,
male,group D,associate's degree,standard,none,40,52,43,,38,60,-28.1,-9.1,255.71,789.61,82.81,,
female,group B,high school,standard,none,65,81,73,,58,54,-8.1,-15.1,122.31,65.61,228.01,,
male,group A,some college,standard,completed,78,72,70,,40,52,-26.1,-17.1,446.31,681.21,292.41,,
female,group A,master's degree,standard,none,50,53,58,,65,81,-1.1,11.9,-13.09,1.21,141.61,,
female,group C,some high school,standard,none,69,75,78,,78,72,11.9,2.9,34.51,141.61,8.41,,
male,group C,high school,standard,none,88,89,86,,50,53,-16.1,-16.1,259.21,259.21,259.21,,
female,group B,some high school,free/reduced,none,18,32,28,,69,75,2.9,5.9,17.11,8.41,34.81,,0.817566713
male,group C,master's degree,free/reduced,completed,46,42,46,,88,89,21.9,19.9,435.81,479.61,396.01,,
female,group C,associate's degree,free/reduced,none,54,58,61,,18,32,-48.1,-37.1,1784.51,2313.61,1376.41,,
male,group D,high school,standard,none,66,69,63,,46,42,-20.1,-27.1,544.71,404.01,734.41,,
female,group B,some college,free/reduced,completed,65,75,70,,54,58,-12.1,-11.1,134.31,146.41,123.21,,
male,group D,some college,standard,none,44,54,53,,66,69,-0.1,-0.1,0.01,0.01,0.01,,
female,group C,some high school,standard,none,69,73,73,,65,75,-1.1,5.9,-6.49,1.21,34.81,,
male,group D,bachelor's degree,free/reduced,completed,74,71,80,,44,54,-22.1,-15.1,333.71,488.41,228.01,,
male,group A,master's degree,free/reduced,none,73,74,72,,69,73,2.9,3.9,11.31,8.41,15.21,,
male,group B,some college,standard,none,69,54,55,,74,71,7.9,1.9,15.01,62.41,3.61,,
female,group C,bachelor's degree,standard,none,67,69,75,,73,74,6.9,4.9,33.81,47.61,24.01,,
male,group C,high school,standard,none,70,70,65,,69,54,2.9,-15.1,-43.79,8.41,228.01,,
female,group D,master's degree,standard,none,62,70,75,,67,69,0.9,-0.1,-0.09,0.81,0.01,,
female,group D,some college,standard,none,69,74,74,,70,70,3.9,0.9,3.51,15.21,0.81,,
female,group B,some college,standard,none,63,65,61,,62,70,-4.1,0.9,-3.69,16.81,0.81,,
female,group E,master's degree,free/reduced,none,56,72,65,,69,74,2.9,4.9,14.21,8.41,24.01,,
male,group D,some college,standard,none,40,42,38,,63,65,-3.1,-4.1,12.71,9.61,16.81,,
male,group E,some college,standard,none,97,87,82,,56,72,-10.1,2.9,-29.29,102.01,8.41,,
male,group E,associate's degree,standard,completed,81,81,79,,40,42,-26.1,-27.1,707.31,681.21,734.41,,
female,group D,associate's degree,standard,none,74,81,83,,97,87,30.9,17.9,553.11,954.81,320.41,,
female,group D,some high school,free/reduced,none,50,64,59,,81,81,14.9,11.9,177.31,222.01,141.61,,
female,group D,associate's degree,free/reduced,completed,75,90,88,,74,81,7.9,11.9,94.01,62.41,141.61,,
male,group B,associate's degree,free/reduced,none,57,56,57,,50,64,-16.1,-5.1,82.11,259.21,26.01,,
male,group C,associate's degree,free/reduced,none,55,61,54,,75,90,8.9,20.9,186.01,79.21,436.81,,
female,group C,associate's degree,standard,none,58,73,68,,57,56,-9.1,-13.1,119.21,82.81,171.61,,
female,group B,associate's degree,standard,none,53,58,65,,55,61,-11.1,-8.1,89.91,123.21,65.61,,
male,group B,some college,free/reduced,completed,59,65,66,,58,73,-8.1,3.9,-31.59,65.61,15.21,,
female,group E,associate's degree,free/reduced,none,50,56,54,,53,58,-13.1,-11.1,145.41,171.61,123.21,,
male,group B,associate's degree,standard,none,65,54,57,,59,65,-7.1,-4.1,29.11,50.41,16.81,,
female,group A,associate's degree,standard,completed,55,65,62,,50,56,-16.1,-13.1,210.91,259.21,171.61,,
female,group C,high school,standard,none,66,71,76,,65,54,-1.1,-15.1,16.61,1.21,228.01,,
female,group D,associate's degree,free/reduced,completed,57,74,76,,55,65,-11.1,-4.1,45.51,123.21,16.81,,
male,group C,high school,standard,completed,82,84,82,,66,71,-0.1,1.9,-0.19,0.01,3.61,,
male,group E,some college,standard,none,53,55,48,,57,74,-9.1,4.9,-44.59,82.81,24.01,,
male,group E,associate's degree,free/reduced,completed,77,69,68,,82,84,15.9,14.9,236.91,252.81,222.01,,
male,group C,some college,standard,none,53,44,42,,53,55,-13.1,-14.1,184.71,171.61,198.81,,
male,group D,high school,standard,none,88,78,75,,77,69,10.9,-0.1,-1.09,118.81,0.01,,
female,group C,some high school,free/reduced,completed,71,84,87,,53,44,-13.1,-25.1,328.81,171.61,630.01,,
female,group C,high school,free/reduced,none,33,41,43,,88,78,21.9,8.9,194.91,479.61,79.21,,
female,group E,associate's degree,standard,completed,82,85,86,,71,84,4.9,14.9,73.01,24.01,222.01,,
male,group D,associate's degree,standard,none,52,55,49,,33,41,-33.1,-28.1,930.11,1095.61,789.61,,
male,group D,some college,standard,completed,58,59,58,,82,85,15.9,15.9,252.81,252.81,252.81,,
female,group C,some high school,free/reduced,none,0,17,10,,52,55,-14.1,-14.1,198.81,198.81,198.81,,
male,group E,bachelor's degree,free/reduced,completed,79,74,72,,58,59,-8.1,-10.1,81.81,65.61,102.01,,
male,group A,some high school,free/reduced,none,39,39,34,,0,17,-66.1,-52.1,3443.81,4369.21,2714.41,,
male,group A,associate's degree,free/reduced,none,62,61,55,,79,74,12.9,4.9,63.21,166.41,24.01,,
female,group C,associate's degree,standard,none,69,80,71,,39,39,-27.1,-30.1,815.71,734.41,906.01,,
female,group D,some high school,standard,none,59,58,59,,62,61,-4.1,-8.1,33.21,16.81,65.61,,
male,group B,some high school,standard,none,67,64,61,,69,80,2.9,10.9,31.61,8.41,118.81,,
male,group D,some high school,free/reduced,none,45,37,37,,59,58,-7.1,-11.1,78.81,50.41,123.21,,
female,group C,some college,standard,none,60,72,74,,67,64,0.9,-5.1,-4.59,0.81,26.01,,
male,group B,associate's degree,free/reduced,none,61,58,56,,45,37,-21.1,-32.1,677.31,445.21,1030.41,,
female,group C,associate's degree,standard,none,39,64,57,,60,72,-6.1,2.9,-17.69,37.21,8.41,,
female,group D,some college,free/reduced,completed,58,63,73,,61,58,-5.1,-11.1,56.61,26.01,123.21,,
male,group D,some college,standard,completed,63,55,63,,39,64,-27.1,-5.1,138.21,734.41,26.01,,
female,group A,associate's degree,free/reduced,none,41,51,48,,58,63,-8.1,-6.1,49.41,65.61,37.21,,
male,group C,some high school,free/reduced,none,61,57,56,,63,55,-3.1,-14.1,43.71,9.61,198.81,,
male,group C,some high school,standard,none,49,49,41,,41,51,-25.1,-18.1,454.31,630.01,327.61,,
male,group B,associate's degree,free/reduced,none,44,41,38,,61,57,-5.1,-12.1,61.71,26.01,146.41,,
male,group E,some high school,standard,none,30,26,22,,49,49,-17.1,-20.1,343.71,292.41,404.01,,
male,group A,bachelor's degree,standard,completed,80,78,81,,44,41,-22.1,-28.1,621.01,488.41,789.61,,
female,group D,some high school,standard,completed,61,74,72,,30,26,-36.1,-43.1,1555.91,1303.21,1857.61,,
female,group E,master's degree,standard,none,62,68,68,,80,78,13.9,8.9,123.71,193.21,79.21,,
female,group B,associate's degree,standard,none,47,49,50,,61,74,-5.1,4.9,-24.99,26.01,24.01,,
male,group B,high school,free/reduced,none,49,45,45,,62,68,-4.1,-1.1,4.51,16.81,1.21,,
male,group A,some college,free/reduced,completed,50,47,54,,47,49,-19.1,-20.1,383.91,364.81,404.01,,
male,group E,associate's degree,standard,none,72,64,63,,49,45,-17.1,-24.1,412.11,292.41,580.81,,
male,group D,high school,free/reduced,none,42,39,34,,50,47,-16.1,-22.1,355.81,259.21,488.41,,
female,group C,some college,standard,none,73,80,82,,72,64,5.9,-5.1,-30.09,34.81,26.01,,
female,group C,some college,free/reduced,none,76,83,88,,42,39,-24.1,-30.1,725.41,580.81,906.01,,
female,group D,associate's degree,standard,none,71,71,74,,73,80,6.9,10.9,75.21,47.61,118.81,,
female,group A,some college,standard,none,58,70,67,,76,83,9.9,13.9,137.61,98.01,193.21,,
female,group D,some high school,standard,none,73,86,82,,71,71,4.9,1.9,9.31,24.01,3.61,,
female,group C,bachelor's degree,standard,none,65,72,74,,58,70,-8.1,0.9,-7.29,65.61,0.81,,
male,group C,high school,free/reduced,none,27,34,36,,73,86,6.9,16.9,116.61,47.61,285.61,,
male,group C,high school,standard,none,71,79,71,,65,72,-1.1,2.9,-3.19,1.21,8.41,,
male,group C,associate's degree,free/reduced,completed,43,45,50,,27,34,-39.1,-35.1,1372.41,1528.81,1232.01,,
female,group B,some college,standard,none,79,86,92,,71,79,4.9,9.9,48.51,24.01,98.01,,
male,group C,associate's degree,free/reduced,completed,78,81,82,,43,45,-23.1,-24.1,556.71,533.61,580.81,,
male,group B,some high school,standard,completed,65,66,62,,79,86,12.9,16.9,218.01,166.41,285.61,,
female,group E,some college,standard,completed,63,72,70,,78,81,11.9,11.9,141.61,141.61,141.61,,
female,group D,some college,free/reduced,none,58,67,62,,65,66,-1.1,-3.1,3.41,1.21,9.61,,
female,group D,bachelor's degree,standard,none,65,67,62,,63,72,-3.1,2.9,-8.99,9.61,8.41,,
male,group B,some college,standard,none,79,67,67,,58,67,-8.1,-2.1,17.01,65.61,4.41,,
male,group D,bachelor's degree,standard,completed,68,74,74,,65,67,-1.1,-2.1,2.31,1.21,4.41,,
female,group D,associate's degree,standard,none,85,91,89,,79,67,12.9,-2.1,-27.09,166.41,4.41,,
male,group B,high school,standard,completed,60,44,47,,68,74,1.9,4.9,9.31,3.61,24.01,,
male,group C,some college,standard,completed,98,86,90,,85,91,18.9,21.9,413.91,357.21,479.61,,
female,group C,some college,standard,none,58,67,72,,60,44,-6.1,-25.1,153.11,37.21,630.01,,
female,group D,master's degree,standard,none,87,100,100,,98,86,31.9,16.9,539.11,1017.61,285.61,,
male,group E,associate's degree,standard,completed,66,63,64,,58,67,-8.1,-2.1,17.01,65.61,4.41,,
female,group B,associate's degree,free/reduced,none,52,76,70,,87,100,20.9,30.9,645.81,436.81,954.81,,
female,group B,some high school,standard,none,70,64,72,,66,63,-0.1,-6.1,0.61,0.01,37.21,,
female,group D,associate's degree,free/reduced,completed,77,89,98,,52,76,-14.1,6.9,-97.29,198.81,47.61,,
male,group C,high school,standard,none,62,55,49,,70,64,3.9,-5.1,-19.89,15.21,26.01,,
male,group A,associate's degree,standard,none,54,53,47,,77,89,10.9,19.9,216.91,118.81,396.01,,
female,group D,some college,standard,none,51,58,54,,62,55,-4.1,-14.1,57.81,16.81,198.81,,
female,group E,bachelor's degree,standard,completed,99,100,100,,54,53,-12.1,-16.1,194.81,146.41,259.21,,
male,group C,high school,standard,none,84,77,74,,51,58,-15.1,-11.1,167.61,228.01,123.21,,
female,group B,bachelor's degree,free/reduced,none,75,85,82,,99,100,32.9,30.9,1016.61,1082.41,954.81,,
