patron_type_code	patron_type_definition	total_checkouts	total_renewals	age_range	home_library_code	home_library_definition	circulation_active_month	circulation_active_year	notice_preference_code	notice_preference_definition	provided_email_address	year_patron_registered	outside_of_county	supervisor_district
0	ADULT	6	0	10 to 19 years	W4	Western Addition	July	2015	z	email	TRUE	2012	FALSE	8
4	WELCOME	1	0	35 to 44 years	X	Main Library	June	2016	z	email	TRUE	2016	FALSE	9
0	ADULT	4	8	45 to 54 years	R3	Richmond	April	2015	z	email	TRUE	2015	TRUE	
0	ADULT	177	117	35 to 44 years	R3	Richmond	January	2016	z	email	TRUE	2012	FALSE	1
0	ADULT	74	19	25 to 34 years	X	Main Library	July	2013	a	print	TRUE	2003	FALSE	3
0	ADULT	5	6	35 to 44 years	G4	Glen Park	November	2014	z	email	TRUE	2014	FALSE	10
0	ADULT	629	656	55 to 59 years	E7	Eureka Valley/Harvey Milk Memorial	July	2016	z	email	TRUE	2003	FALSE	7
0	ADULT	1	0	25 to 34 years	X	Main Library	July	2016	z	email	TRUE	2016	TRUE	
0	ADULT	20	23	25 to 34 years	G6	Golden Gate Valley	July	2016	z	email	TRUE	2014	FALSE	2
3	SENIOR	98	107	65 to 74 years	P1	Park	November	2014	z	email	TRUE	2003	FALSE	5
1	JUVENILE	23	1	0 to 9 years	O7	Ortega	May	2016	z	email	TRUE	2014	FALSE	4
0	ADULT	3	6	25 to 34 years	M6	Mission	June	2016	z	email	TRUE	2015	FALSE	9
0	ADULT	4	4	20 to 24 years	X	Main Library	June	2015	z	email	TRUE	2015	FALSE	8
0	ADULT	1	0	45 to 54 years	E9	Excelsior	May	2013	p	phone	TRUE	2013	FALSE	11
0	ADULT	56	4	25 to 34 years	X	Main Library	May	2016	p	phone	FALSE	2014	FALSE	10
0	ADULT	9	4	35 to 44 years	W2	West Portal	July	2015	z	email	TRUE	2009	FALSE	8
0	ADULT	27	0	55 to 59 years	V3	Visitacion Valley	June	2010	a	print	FALSE	2006	FALSE	10
