OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,TRUE,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,240464,320886,213735,169966,113680
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,TRUE,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,199012,274585,171781,137276,93579
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,TRUE,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,236110,294268,201268,158743,105818
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,TRUE,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,188934,305910,206659,158438,115198
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,TRUE,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,279986,341779,231947,189651,118873
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,TRUE,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,250029,311188,213496,172211,99312
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,TRUE,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,277231,393521,252632,202658,126501
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,TRUE,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,218077,289440,186279,150445,105455
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,241023,321565,214177,170421,114338
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,200000,276300,172334,137701,94110
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,234497,292412,199651,157540,105246
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,189722,307208,207504,159012,116050
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,279797,341693,231571,189452,119004
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,249604,310904,212936,171545,99311
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,282084,400686,256876,206044,128869
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,217909,289567,185980,149957,105626
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,238628,318239,212062,168791,113687
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,200799,277246,172919,138510,95209
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,230548,287099,196515,155272,104210
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,185088,298767,202460,155285,113809
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,275632,336338,228232,186940,118215
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,248336,309162,211989,170731,99588
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,279968,397057,255038,204812,128795
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,218565,290248,186588,150516,106667
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,234678,312740,208413,166287,112650
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,196422,270943,169126,135812,93982
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,228633,284319,195048,154379,104314
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,182872,294989,199887,153417,113172
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,267839,326617,221800,181902,116083
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,244953,304715,209231,168630,99169
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,269194,381196,245301,197103,125096
